text,emotion
"Uh , listen , I just wanna thank you for this great opportunity .",joy
Lose the robe .,neutral
Me ?,surprise
"Oh my God , it is her , it is that Victoria Secret model . Something ... something Goodacre .",surprise
"Hi Mom , it is Jill .",neutral
"She is right , it is Jill . Jill Goodacre . Oh my God . I am trapped in an ATM vestibule with Jill Goodacre !",surprise
"Yeah , I am fine . I am just stuck at the bank , in an ATM vestibule .",neutral
Jill says vestibule ... I am going with vestibule .,neutral
"I am fine . No , I am not alone ... I do not know , some guy .",neutral
"Oh ! Some guy . Some guy . Hey Jill , I saw you with some guy last night . Yes , he was some guy .",joy
"Alright , somebody .",neutral
"OK , I will go . OK , senior year of college ... on a pool table .",neutral
Whoooaa !,surprise
That is my sister .,neutral
OK ... my weirdest place would have to be ... the women room on the second floor of the New York CIty public library .,neutral
Oh my God ! What were you doing in a library ?,surprise
"Pheebs , what about you ?",neutral
Oh ... Milwaukee .,neutral
Um ... Ross ?,neutral
"Disneyland , 1989 , It is a Small World After All .",neutral
No way !,surprise
The ride broke down .,neutral
"So , Carol and I went behind a couple of those mechanical Dutch children ... then they fixed the ride , and we were asked never to return to the Magic Kingdom .",neutral
"Oh , Rachel .",neutral
"See , I see ... big passion in your future .",neutral
Really ?,surprise
Mmmm .,neutral
You do ?,surprise
I do .,neutral
"Oh Ross , you are so great .",joy
"OK , you have got to promise that you will never , ever tell Ross that I told you .",neutral
About what ?,neutral
He is planning your birthday party .,neutral
Oh my God ! I love him !,surprise
You would better act surprised .,neutral
About what ?,neutral
My surprise party !,joy
What surprise party ?,surprise
Oh stop it . Joey already told me .,joy
"Well , he did not tell me .",neutral
"Hey , do not look at me . This is Ross thing .",neutral
This is so typical . I am always the last one to know everything .,anger
"No , you are not . We tell you stuff .",neutral
Yuh ... huh !,anger
I was the last one to know when Chandler got bitten by the peacock at the zoo .,anger
I was the last one to know when you had a crush on Joey when he was moving in .,anger
What ?,surprise
Looks like I was second to last .,surprise
"Oh , look look look .",surprise
The last candle about to burn out .,neutral
"10 , 9 , 8 , 7 ... negative 46 , negative 47 , negative 48 ...",neutral
Thank you .,neutral
Thanks .,neutral
Kinda ... spooky without any lights .,fear
Bwah ... hah ... hah !,joy
"OK , guys , guys ? I have the definitive one . Mwwwooooo ... hah ... hah ...",joy
Oh ... oh ... oh .,neutral
"Hey Ross . This probably is not the best time to bring it up , but you have to throw a party for Monica .",neutral
"Well , this has been fun .",neutral
"Yes . Yes , thanks for letting me use your phone ... and for saving my life .",joy
"Well , goodbye Chandler . I had a great blackout . See you .",neutral
"Hi , um , I am account number 7143457 .",neutral
"And , uh , I do not know if you got any of that , but I would really like a copy of the tape .",neutral
Dehydrated Japanese noodles under fluorescent lights ... does it,neutral
"Question . You are not dating anybody , are you , because I met somebody who would be perfect for you .",neutral
"Ah , yee , perfect might be a problem . Had you said co ... dependent , or self ... destructive ...",neutral
Do you want a date Saturday ?,neutral
Yes please .,neutral
"Okay . He is cute , he is funny , he is ...",neutral
He is a he ?,surprise
Well yeah !,surprise
... Oh God .,fear
"I ... just ... I thought ... Good , Shelley .",anger
I am just gonna go flush myself down the toilet now ...,disgust
"Okay , goodbye ...",disgust
"Yeah , all the time . I want the baby to know my voice .",neutral
"Do you uh , do you talk about me ?",neutral
"Yeah , yeah , all the time .",neutral
Really ?,surprise
"But um , we just refer to you as Bobo the Sperm Guy .",neutral
"What , Phoebe , did you whip the potatoes ? Ross needs lumps !",anger
"Oh , I am sorry , oh , I just , I thought we could have them whipped and then add some peas and onions .",sadness
Why would we do that ?,surprise
"Well , cause then they would be like my mom used to make them , you know , before she died .",sadness
"Ok , three kinds of potatoes coming up .",neutral
"Ok , good ... bye you guys . Thanks for everything .",joy
"Oh , sorry ! Oh , sorry !",surprise
The most unbelievable thing has happened . Underdog has just gotten away .,surprise
The balloon ?,neutral
"No , no , the actual cartoon character .",neutral
Of course the balloon .,neutral
"It is all over the news . Right before he reached Macy , he broke free and was spotted flying over Washington Square Park . I am going to the roof , who with me ?",neutral
"I can not , I gotta go .",sadness
Come on . An 80 ... foot inflatable dog let loose over the city . How often does that happen ?,surprise
Almost never .,neutral
Got the keys ?,neutral
Ok .,neutral
"Come on , you know , Thanksgiving . Ooh , you got the bigger half . What would you wish for ?",joy
The bigger half .,neutral
I would like to propose a toast .,joy
"Little toast here , ding ding .",joy
"I know this is not the kind of Thanksgiving that all of you all planned , but for me , this has been really great , you know , I think because it did not involve divorce or projectile vomiting .",joy
"Anyway , I was just thinking , I mean , if you would gone to Vail , and if you guysd been with your family , if you did not have syphilis and stuff , we would not be all together , you know ?",joy
So I guess what I am trying to say is that I am very thankful that all of your Thanksgivings sucked .,joy
That is so sweet .,joy
"And hey , here is to a lousy Christmas .",joy
And a crappy New Year .,joy
"Here , here !",joy
Do you think they have yesterday daily news ?,neutral
Why ?,surprise
"Just wanna check my horoscope , see if it was right .",neutral
"Oh my God . Phoebe . Do not look now , but behind us is a guy who has the potential to break our hearts and plunge us into a pit of depression .",surprise
"Where ? Ooh , come to Momma .",joy
"He is coming . Be cool , be cool , be cool .",joy
We should do something . Whistle .,neutral
We are not going to whistle .,anger
"Come on , do it .",neutral
No !,anger
Do it !,joy
No !,anger
Do it do it do it !,joy
Woo ... woo !,joy
I can not believe you did that !,surprise
"Let see . Congress is debating a new deficit reduction bill ... the mayor wants to raise subway fares again ... the high today was forty ... five ... and ... oh , teams played sports .",neutral
What about Glen ? He could be a Glen .,neutral
Nah ... not ... not special enough .,neutral
Ooh ! How about Agamemnon ?,neutral
Waaay too special .,neutral
"Ok , so it is just because it was my table , I have to buy a new one ?",anger
That is the rule .,neutral
"What rule ? There is no rule , if anything , you owe me a table !",anger
How would you get to that ?,anger
"Well , I believe the piece of furniture was fine until your little breakfast adventure with Angela Delvecchio .",anger
You knew about that ?,surprise
"Well , let just say the impressions you made in the butter left little to the imagination .",disgust
"Ok , ok , How about if we split it ?",neutral
"What do you mean , like , buy it together ?",neutral
Yeah .,neutral
You think we are ready for something like that ?,neutral
Why not ?,neutral
"Well , it is a pretty big commitment , I mean , what if one of us wants to move out ?",neutral
"Why , are you moving out ?",surprise
I am not moving out .,neutral
You would tell me if you were moving out right,fear
"Yeah , yeah , it is just that with my last roommate Kip ...",neutral
"Aw , I know all about Kip !",anger
"It is just that we bought a hibachi together , and then he ran off and got married , and things got pretty ugly .",anger
"Well , let me ask you something , was Kip a better roommate than me ?",sadness
"Aw , do not do that",sadness
"I can not believe you do not want to know . I mean , I could not not know , I mean , if , if the doctor knows , and Carol knows , and Susan knows ...",surprise
And Monica knows ...,neutral
"Wha , heh , how could you know , I do not even know !",surprise
"Carol called me to thank me for the lasagna , I asked , she told me .",neutral
So what it gonna be ?,joy
"Wait ... oh ... hey ... huh , oh great now he knows , and I do not know !",anger
"I am sorry , I am just excited about being an aunt !",joy
Or an uncle ...,neutral
Hey Phoebe !,neutral
Pheebs !,joy
Fine !,anger
"Phoebe , what the matter ?",neutral
"Nothing , I am sorry , I am just , I am out of sorts .",sadness
"Hey , can we get some cappuccino over here ?",neutral
"Oh , right , that is me !",surprise
"Hey , Chandler , that table place closes at 7 , come on .",neutral
Fine .,neutral
"Phoebe , what is it ?",neutral
"All right , you know Paolo ?",neutral
"I am familiar with his work , yes ...",neutral
"Well , he made a move on me .",anger
"Whoa , store will be open tomorrow !",surprise
"More coffee over here , please !",neutral
"Well , he came in for a massage , and everything was fine until ...",neutral
Ooooohh !,surprise
My God .,surprise
Are you sure ?,surprise
"Oh yeah , I am sure .",neutral
And all of a sudden his hands were not the problem anymore .,neutral
Was it ... ?,surprise
"Oh , boy scouts could have camped under there .",neutral
Oooooo ...,disgust
""" Ooo , "" what ?",surprise
Uma Thurman .,neutral
Oh !,surprise
The actress !,surprise
Thanks Rach .,joy
So what are you gonna do ?,neutral
"You have to tell her ! You have to tell her ! It is your moral obligation , as a friend , as a woman , I think it is a feminist issue ! Guys ? Guys ?",anger
"Oh , yeah , you have to tell her .",neutral
Feminist issue . That is where I went !,neutral
She is gonna hate me .,fear
"Yeah , well ...",neutral
"Will you pick one , just pick one ! Here , how about that one ?",anger
That is patio furniture !,surprise
"So what , like people are gonna come in and think , "" Uh ... oh , I am outside again ? """,anger
What about the birds ?,neutral
"I do not know , birds just do not say , "" Hello , sit here , eat something . """,neutral
You pick one .,neutral
"All right , how about the ladybugs ?",neutral
"Oh , so , forget about the birds , but big red insects suggest fine dining !",anger
"Fine , you want to get the birds , get the birds !",anger
"Not like that , I will not !",sadness
Kip would have liked the birds !,sadness
"So , what do you think ?",neutral
I think It is the most beautiful table I have ever seen .,joy
I know !,joy
"So how does this work , you going to balance the plates on these little guys heads ?",neutral
"Who cares , we will eat at the sink ! Come on , let play !",joy
Heads up Ross ! Score ! You suck !,joy
"Oh , but he was my pig man ...",sadness
How did I not see this ?,surprise
"Oh ! I know ! It is because ... he is gorgeous , and he is charming , and when he looks at you ...",joy
"Ok , Ok , Pheebs ...",neutral
The end .,neutral
"Oh , God ...",sadness
Should I not have told you ?,sadness
"No , no , trust , me , it is , it is , it is much better that I know .",neutral
"Uh , I just liked it better before it was better ...",sadness
"Now , yee , most people , when their pets pass on , they want em sorta laid out like they are sleeping .",neutral
But occasionally you get your person who wants them in a pose .,neutral
"Like , chasing their tail , or , uh , jumping to catch a frisbee .",neutral
"Joey , if I go first , I wanna be looking for my keys .",neutral
That is a good one !,joy
"Hey , Joe .",neutral
"Dad , Ronni here .",neutral
Huh ?,surprise
"Hey , Kicky . What are you doing ?",disgust
Just trying to get comfortable . I can not sleep in my underwear .,sadness
"Well , you are gonna .",neutral
"I have been thinking . You know , about how I am always seeing girls on top of girls ...",neutral
"Are they end to end , or tall like pancakes ?",neutral
"You know what I mean , about how I am always going out with all these women .",neutral
"And I always figured , when the right one comes along , I would be able to be a stand ... up guy and go the distance , you know ?",sadness
"Now I am looking at my dad , thinking ...",sadness
"Hey , you are not him .",neutral
You are you .,neutral
"When they were all over you to go into your father pipe ... fitting business , did you cave ?",neutral
No .,neutral
No .,neutral
You decided to go into the out ... of ... work actor business .,neutral
"Now that was not easy , but you did it !",neutral
"And I would like to believe that when the right woman comes along , you will have the courage and the guts to say "" No thanks , I am married . """,neutral
You really think so ?,joy
Yeah . I really do .,neutral
"Thanks , Chandler .",neutral
Get off !,anger
Ma ! What are you doing here ?,surprise
I came to give you this and this .,neutral
Oww ! Big ring !,surprise
"What wrong , sweetie ?",neutral
"Nothing , nothing .",neutral
"Aaaah , what wrong , c mon .",neutral
"It is , I mean , it is nothing , I am fine . It is my friends . They ... they have a liking problem with you . In that , um , they do not .",sadness
Oh . They do not ?,surprise
"But you know , they do not see all the wonderfulness that I see . They do not see all the good stuff and all the sweet stuff . They just you know , they think you are a little ...",joy
What ?,surprise
Intense and creepy .,neutral
"Hey , Joey . What going on ?",neutral
Clear the tracks for the boobie payback express . Next stop : Rachel Green .,neutral
Joey ! ! What the hell were you doing ? !,disgust
Sorry . Wrong boobies .,sadness
"Hello , Joey .",neutral
"Oh ! ... Hello , dear .",surprise
"Actually , tomorrow night kinda depends on how tonight goes .",neutral
"Oh , uh , listen , about tonight ...",sadness
"No , no , no , do not you dare bail on me .",anger
The only reason she is going out with me is because I said I could bring a friend for her friend .,neutral
"Yes , I know , but her friend sounds like such a ...",sadness
"Pathetic mess ? I know , but ...",neutral
"Come on , man , she is needy , she is vulnerable . I am thinking , cha ... ching !",joy
Thanks .,neutral
"Look , you have not been out with a woman since Janice .",neutral
You are doing this .,neutral
Hi . She said yes .,neutral
"Yes ! Way to go , man ! Still got the egg , huh ?",joy
How do I look ?,neutral
"Oh , uh , I ... do not ... care .",neutral
There is Lorraine .,neutral
"Ok , now , remember , no trading . You get the pretty one , I get the mess .",neutral
"Hi , Joey .",joy
"Well well , look what you brought . Very nice .",joy
... And what did you bring ?,neutral
She is checking the coats .,neutral
"Joey , I am gonna go wash the cab smell off my hands . Will you get me a white Zinfandel , and a glass of red for Janice .",neutral
Janice ?,surprise
Janice ?,surprise
Oh ... my ... God !,surprise
"Hey , it is Janice .",anger
"I am just saying if dogs do experience jet lag , then , because of the whole um , seven dog years to one human year thing , then , when a dog flies from New York to Los Angeles , he does not just lose three hours , he loses like a week and a half .",neutral
That is funny .,joy
Who are they ?,surprise
"The blond woman is my ex ... wife , and the woman touching her is her ... close , personal friend .",neutral
You mean they are lovers .,surprise
If you wanna put a label on it .,neutral
"Wow , uh , anything else I should know ?",surprise
"Nope , nope , that is it .",neutral
"So , um , what do you do for a living ?",neutral
"Well , um , for the past few years ...",neutral
Oh no . I thought you said they could shoot the spot without you .,sadness
I thought they could ...,anger
But it is Valentine Day .,sadness
"I know , but it is my job . Look , I will try to get back as soon as I can . I am sorry .",sadness
"I am spending most of my time teaching Science ... which is funny because , that was not even my major .",joy
Now that is funny .,joy
"Hey , do you think ... would it be too weird if I invited Carol over to join us ?",neutral
"Cause she is , she is alone now , and pregnant , and , and sad .",sadness
